id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,change width,50,38,11,48,214,ship,baseline,monotonic-signal
g002,diagnostic quality,91,63,31,43,317,ship,edge,drag-penalty
g003,review cost,71,43,43,54,224,ship,recovery,confidence-floor
g004,safe rewrite,108,70,29,55,391,ship,negative,lane-boundary
g005,change width,42,16,24,103,197,watch,baseline,monotonic-signal
g006,diagnostic quality,101,62,23,88,407,ship,edge,drag-penalty
g007,review cost,46,17,24,42,149,watch,recovery,confidence-floor
g008,safe rewrite,66,67,5,67,322,ship,negative,lane-boundary
g009,change width,35,25,18,84,178,watch,baseline,monotonic-signal
g010,diagnostic quality,67,41,5,54,286,ship,edge,drag-penalty
g011,review cost,87,52,42,43,272,ship,recovery,confidence-floor
g012,safe rewrite,56,25,41,85,196,watch,negative,lane-boundary
g013,change width,44,14,4,25,163,watch,baseline,monotonic-signal
g014,diagnostic quality,42,11,25,42,129,watch,edge,drag-penalty
g015,review cost,88,12,37,98,300,ship,recovery,confidence-floor
g016,safe rewrite,71,15,44,88,228,ship,negative,lane-boundary
g017,change width,110,54,28,44,372,ship,baseline,monotonic-signal
g018,diagnostic quality,45,41,43,27,117,watch,edge,drag-penalty
g019,review cost,60,72,10,66,298,ship,recovery,confidence-floor
g020,safe rewrite,115,20,16,47,380,ship,negative,lane-boundary
g021,change width,58,66,41,42,200,watch,baseline,monotonic-signal
g022,diagnostic quality,33,57,13,53,183,watch,edge,drag-penalty
g023,review cost,68,20,43,54,192,watch,recovery,confidence-floor
g024,safe rewrite,89,39,38,102,332,ship,negative,lane-boundary
g025,change width,103,50,16,87,414,ship,baseline,monotonic-signal
g026,diagnostic quality,69,59,28,41,251,ship,edge,drag-penalty
g027,review cost,100,31,14,66,369,ship,recovery,confidence-floor
g028,safe rewrite,75,54,9,83,344,ship,negative,lane-boundary
g029,change width,66,68,8,53,303,ship,baseline,monotonic-signal
g030,diagnostic quality,109,43,9,42,394,ship,edge,drag-penalty
g031,review cost,90,68,32,84,358,ship,recovery,confidence-floor
g032,safe rewrite,91,48,45,24,255,ship,negative,lane-boundary
g033,change width,44,75,32,41,184,watch,baseline,monotonic-signal
g034,diagnostic quality,112,21,27,97,400,ship,edge,drag-penalty
g035,review cost,61,67,26,87,285,ship,recovery,confidence-floor
g036,safe rewrite,83,22,31,43,252,ship,negative,lane-boundary
g037,change width,54,72,10,26,240,ship,baseline,monotonic-signal
g038,diagnostic quality,87,30,22,65,312,ship,edge,drag-penalty
g039,review cost,107,46,29,46,355,ship,recovery,confidence-floor
g040,safe rewrite,76,57,13,41,300,ship,negative,lane-boundary
g041,change width,108,30,28,52,350,ship,baseline,monotonic-signal
g042,diagnostic quality,40,19,37,53,118,watch,edge,drag-penalty
g043,review cost,97,16,43,101,322,ship,recovery,confidence-floor
g044,safe rewrite,85,17,26,86,306,ship,negative,lane-boundary
g045,change width,83,20,40,40,229,ship,baseline,monotonic-signal
g046,diagnostic quality,41,59,28,65,191,watch,edge,drag-penalty
g047,review cost,112,46,23,82,418,ship,recovery,confidence-floor
g048,safe rewrite,63,77,43,52,232,ship,negative,lane-boundary
g049,change width,86,25,13,41,298,ship,baseline,monotonic-signal
g050,diagnostic quality,101,71,41,83,375,ship,edge,drag-penalty
g051,review cost,68,62,36,23,217,ship,recovery,confidence-floor
g052,safe rewrite,99,25,35,40,292,ship,negative,lane-boundary
g053,change width,74,44,36,96,290,ship,baseline,monotonic-signal
g054,diagnostic quality,109,55,17,86,434,ship,edge,drag-penalty
g055,review cost,42,64,30,42,172,watch,recovery,confidence-floor
g056,safe rewrite,56,36,17,25,195,watch,negative,lane-boundary
g057,change width,110,59,12,64,429,ship,baseline,monotonic-signal
g058,diagnostic quality,53,73,11,45,255,ship,edge,drag-penalty
g059,review cost,116,48,16,40,404,ship,recovery,confidence-floor
g060,safe rewrite,107,73,37,51,371,ship,negative,lane-boundary
g061,change width,62,53,7,52,277,ship,baseline,monotonic-signal
g062,diagnostic quality,43,10,14,100,211,ship,edge,drag-penalty
g063,review cost,44,26,40,85,163,watch,recovery,confidence-floor
g064,safe rewrite,85,72,13,39,340,ship,negative,lane-boundary
g065,change width,65,27,22,64,242,ship,baseline,monotonic-signal
g066,diagnostic quality,102,77,28,81,408,ship,edge,drag-penalty
g067,review cost,36,35,11,51,172,watch,recovery,confidence-floor
g068,safe rewrite,95,51,25,40,326,ship,negative,lane-boundary
g069,change width,40,62,13,82,238,ship,baseline,monotonic-signal
g070,diagnostic quality,60,35,8,22,221,ship,edge,drag-penalty
g071,review cost,117,24,28,39,358,ship,recovery,confidence-floor
g072,safe rewrite,61,21,40,95,219,ship,negative,lane-boundary
g073,change width,81,22,26,85,298,ship,baseline,monotonic-signal
g074,diagnostic quality,50,25,21,41,174,watch,edge,drag-penalty
g075,review cost,38,64,20,24,162,watch,recovery,confidence-floor
g076,safe rewrite,36,51,21,63,180,watch,negative,lane-boundary
g077,change width,82,12,44,44,214,ship,baseline,monotonic-signal
g078,diagnostic quality,65,30,15,39,234,ship,edge,drag-penalty
g079,review cost,104,76,44,50,350,ship,recovery,confidence-floor
g080,safe rewrite,39,67,39,51,157,watch,negative,lane-boundary
g081,change width,54,30,38,99,215,ship,baseline,monotonic-signal
g082,diagnostic quality,109,49,43,84,374,ship,edge,drag-penalty
g083,review cost,52,60,22,38,210,ship,recovery,confidence-floor
g084,safe rewrite,115,69,34,63,409,ship,negative,lane-boundary
g085,change width,62,41,41,80,225,ship,baseline,monotonic-signal
g086,diagnostic quality,83,64,25,50,313,ship,edge,drag-penalty
g087,review cost,97,8,40,39,258,ship,recovery,confidence-floor
g088,safe rewrite,63,53,7,81,309,ship,negative,lane-boundary
g089,change width,94,8,13,21,285,ship,baseline,monotonic-signal
g090,diagnostic quality,69,58,38,38,227,ship,edge,drag-penalty
g091,review cost,60,15,10,94,269,ship,recovery,confidence-floor
g092,safe rewrite,103,31,40,84,344,ship,negative,lane-boundary
g093,change width,84,77,35,40,299,ship,baseline,monotonic-signal
g094,diagnostic quality,85,32,13,23,284,ship,edge,drag-penalty
g095,review cost,38,12,25,62,138,watch,recovery,confidence-floor
g096,safe rewrite,106,40,11,43,379,ship,negative,lane-boundary
